client_id	path	sentence	up_votes	down_votes	age	gender	accent
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779202.mp3	病気のため彼はその会合に出席できなかった。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779203.mp3	彼女は門のところに車を停めた。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779204.mp3	おまわりさんが駅までの道を教えてくれました。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779205.mp3	父は家では何もしません。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779206.mp3	兵士たちは戦いの準備が出来ている。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779207.mp3	来年わたしは新しい車を買おうと思います。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779208.mp3	塀の上には割れたガラスがありました。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779209.mp3	紙を一枚ずつ取ってください。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779210.mp3	振り込み用紙を書くとき、ボールペンを使います。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779211.mp3	最近寝てるときにこむらがえりを起こします。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779212.mp3	娘はいつも、約束を守らない母親に苛立っていた。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779213.mp3	病人はもう安心です。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779214.mp3	父は毎朝ジョギングをする。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779215.mp3	瀕死の鳥たちを哀れに思った。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779216.mp3	彼女は用事がなければほとんど外出しない。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779217.mp3	パジャマとティーシャツがめくれて、薄い肋骨の下に、ぺちゃんこの腹が見えた。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779218.mp3	父は私に妹の世話をする義務を負わせた。	2	1	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779219.mp3	氷は非常に薄いので君の体重を支えきれないだろう。	2	0	twenties	male	
51e9ed35447037faf8743d586cdb3e1ec9f5c36145456d83cad5e923288fd71278ff6fc1d932eb62a8693da3a224ac54418f66c8577dfa57bbc8a4f3497fe700	common_voice_ja_19779220.mp3	午後は、溜った書類に目を通して返す。	2	0	twenties	male	
